,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,mataura,NZ,2020-09-02 21:47:59,-46.19,168.86,50,44,58.02799999999996,1.26
1,vaini,TO,2020-09-02 21:47:59,-21.2,-175.2,75,88,73.66999999999996,5.1
2,nuuk,GL,2020-09-02 21:47:59,64.18,-51.72,11,58,44.86999999999996,5.1
3,atuona,PF,2020-09-02 21:47:59,-9.8,-139.03,7,78,79.23200000000003,10.38
4,kapaa,US,2020-09-02 21:46:46,22.08,-159.32,75,69,81.26600000000002,5.7
5,butaritari,KI,2020-09-02 21:47:59,3.07,172.79,100,73,83.87599999999999,5.85
6,torbay,CA,2020-09-02 21:48:00,47.67,-52.73,90,71,56.26400000000004,5.7
7,henties bay,NA,2020-09-02 21:48:00,-22.12,14.28,0,88,49.26199999999996,2.37
8,pangnirtung,CA,2020-09-02 21:48:00,66.15,-65.71,99,70,47.08399999999999,3.37
9,leningradskiy,RU,2020-09-02 21:48:00,69.38,178.42,83,82,36.82400000000001,2.34
10,mys shmidta,,,,,,,,
11,guerrero negro,MX,2020-09-02 21:48:01,27.98,-114.06,0,73,74.15600000000003,6.93
12,oussouye,SN,2020-09-02 21:48:01,12.48,-16.55,100,100,77.26999999999995,1
13,east london,ZA,2020-09-02 21:48:01,-33.02,27.91,70,64,66.72200000000004,4.16
14,verkh-usugli,RU,2020-09-02 21:48:01,52.7,115.17,0,58,62.20399999999995,1.89
15,ijui,BR,2020-09-02 21:48:02,-28.39,-53.91,90,87,57.469999999999956,6.7
16,ugoofaaru,MV,2020-09-02 21:48:02,5.67,73,100,81,81.80600000000004,8.03
17,raudeberg,NO,2020-09-02 21:41:00,61.99,5.14,92,55,63.266000000000005,10.66
18,kloulklubed,PW,2020-09-02 21:48:02,7.04,134.26,75,70,88.06999999999996,3.6
19,ushuaia,AR,2020-09-02 21:48:02,-54.8,-68.3,75,74,37.66999999999996,0.66
20,saint-philippe,RE,2020-09-02 21:48:02,-21.36,55.77,15,72,66.46999999999997,2.1
21,albany,US,2020-09-02 21:47:56,42.6,-73.97,100,89,74.26400000000004,2.05
22,tasiilaq,GL,2020-09-02 21:48:03,65.61,-37.64,97,94,39.469999999999956,3.6
23,provideniya,RU,2020-09-02 21:48:03,64.38,-173.3,75,66,48.469999999999956,3
24,kuching,MY,2020-09-02 21:43:30,1.55,110.33,20,94,79.06999999999996,1
25,qaanaaq,GL,2020-09-02 21:48:03,77.48,-69.36,0,77,24.835999999999967,2.85
26,verkhoyansk,RU,2020-09-02 21:48:04,67.54,133.38,44,40,58.51400000000004,1.62
27,rikitea,PF,2020-09-02 21:48:04,-23.12,-134.97,13,84,70.60999999999999,8.25
28,narsaq,GL,2020-09-02 21:48:04,60.92,-46.05,0,48,44.86999999999996,2.1
29,ancud,CL,2020-09-02 21:48:04,-41.87,-73.82,100,93,48.272000000000034,0.89
30,busselton,AU,2020-09-02 21:48:04,-33.65,115.33,82,78,59.26999999999996,1.34
31,cape town,ZA,2020-09-02 21:39:00,-33.93,18.42,75,87,60.27799999999996,6.7
32,nantucket,US,2020-09-02 21:47:36,41.28,-70.1,90,94,70.06999999999996,6.2
33,honiara,SB,2020-09-02 21:48:05,-9.43,159.95,40,63,91.66999999999996,1.5
34,carnarvon,AU,2020-09-02 21:48:05,-24.87,113.63,16,59,66.46999999999997,7.7
35,ribeira grande,PT,2020-09-02 21:48:06,38.52,-28.7,81,80,73.59800000000003,3.94
36,airai,TL,2020-09-02 21:48:06,-8.93,125.41,38,37,78.61999999999996,2.65
37,ngukurr,,,,,,,,
38,sarh,TD,2020-09-02 21:48:06,9.14,18.39,92,95,71.18599999999998,1.24
39,porto novo,BJ,2020-09-02 21:48:06,6.5,2.6,90,94,77.26999999999995,6.2
40,luderitz,NA,2020-09-02 21:48:06,-26.65,15.16,0,57,53.45600000000003,2.78
41,ambilobe,MG,2020-09-02 21:41:24,-13.2,49.05,2,88,63.266000000000005,1.23
42,sabha,LY,2020-09-02 21:48:07,27.04,14.43,0,14,85.316,7.77
43,illoqqortoormiut,,,,,,,,
44,tarnogskiy gorodok,RU,2020-09-02 21:48:07,60.5,43.58,0,91,43.285999999999966,1.04
45,sao joao da barra,BR,2020-09-02 21:41:27,-21.64,-41.05,0,87,71.50999999999999,4.12
46,sentyabrskiy,,,,,,,,
47,puerto ayora,EC,2020-09-02 21:48:08,-0.74,-90.35,89,90,66.27200000000005,0.89
48,san bartolome de tirajana,ES,2020-09-02 21:48:08,27.92,-15.57,20,78,71.86999999999996,5.1
49,altamira,BR,2020-09-02 21:48:08,-3.2,-52.21,4,57,77.37799999999996,1.21
50,barentsburg,,,,,,,,
51,margate,GB,2020-09-02 21:48:08,51.38,1.39,100,80,62.27599999999999,1.79
52,chapleau,CA,2020-09-02 21:48:08,47.84,-83.4,20,76,55.66999999999996,2.1
53,georgetown,MY,2020-09-02 21:43:14,5.41,100.34,20,88,84.46999999999997,1
54,portland,US,2020-09-02 21:39:03,45.52,-122.68,1,40,88.26799999999999,4.6
55,kirillov,RU,2020-09-02 21:48:09,59.86,38.38,22,94,44.94199999999999,2.17
56,bambous virieux,MU,2020-09-02 21:48:09,-20.34,57.76,75,94,69.27799999999996,1.5
57,khatanga,RU,2020-09-02 21:48:09,71.97,102.5,100,66,48.30800000000001,7.95
58,hamilton,US,2020-09-02 21:43:53,39.18,-84.53,90,83,78.27799999999996,2.1
59,sao filipe,CV,2020-09-02 21:48:10,14.9,-24.5,78,84,78.60199999999998,5.97
60,bousso,TD,2020-09-02 21:48:10,10.48,16.71,100,94,72.75199999999998,2.07
61,saint-denis,FR,2020-09-02 21:48:10,48.92,2.33,100,67,64.27400000000002,1
62,gorontalo,ID,2020-09-02 21:48:10,0.54,123.06,97,65,87.40399999999995,1.06
63,helsinki,FI,2020-09-02 21:45:50,60.17,24.94,75,93,61.26799999999999,4.1
64,sinazongwe,ZM,2020-09-02 21:40:30,-17.26,27.46,22,65,69.04399999999998,2.69
65,norman wells,CA,2020-09-02 21:48:11,65.28,-126.83,75,93,52.069999999999965,2.6
66,klaksvik,FO,2020-09-02 21:48:11,62.23,-6.59,32,100,52.069999999999965,6.7
67,awjilah,LY,2020-09-02 21:48:11,29.11,21.29,0,23,80.49199999999999,3.19
68,coquimbo,CL,2020-09-02 21:48:11,-29.95,-71.34,50,87,52.069999999999965,2.1
69,bismarck,US,2020-09-02 21:43:59,46.81,-100.78,20,49,73.66999999999996,17.5
70,bluff,NZ,2020-09-02 21:48:11,-46.6,168.33,95,64,53.167999999999985,2.45
71,angoram,PG,2020-09-02 21:48:12,-4.06,144.07,54,57,91.00399999999996,1.4
72,hilo,US,2020-09-02 21:48:12,19.73,-155.09,1,58,82.66999999999996,4.1
73,mar del plata,AR,2020-09-02 21:48:12,-38,-57.56,90,100,47.26400000000003,6.2
74,kichera,RU,2020-09-02 21:48:12,55.94,110.1,99,78,56.89399999999998,1.53
75,awbari,LY,2020-09-02 21:48:13,26.59,12.78,0,15,83.49800000000002,4.01
76,brigantine,US,2020-09-02 21:48:13,39.41,-74.36,1,83,79.06999999999996,3.6
77,fukue,JP,2020-09-02 21:48:13,32.69,128.84,40,74,80.86999999999996,6.2
78,hermanus,ZA,2020-09-02 21:48:13,-34.42,19.23,40,95,55.274000000000015,3.58
79,taolanaro,,,,,,,,
80,sitka,US,2020-09-02 21:48:14,57.05,-135.33,90,93,53.86999999999996,2.1
81,esperance,AU,2020-09-02 21:48:14,-33.87,121.9,24,71,55.66999999999996,6.2
82,los llanos de aridane,ES,2020-09-02 21:48:14,28.66,-17.92,1,83,70.06999999999996,3.6
83,felidhoo,,,,,,,,
84,bhanpura,IN,2020-09-02 21:48:14,24.51,75.75,100,84,78.44000000000003,0.91
85,saskylakh,RU,2020-09-02 21:48:14,71.92,114.08,100,68,50.18000000000004,3.81
86,andenes,NO,2020-09-02 21:48:15,69.31,16.12,100,87,52.069999999999965,5.1
87,tuktoyaktuk,CA,2020-09-02 21:48:15,69.45,-133.04,75,87,53.86999999999996,2.6
88,tsihombe,,,,,,,,
89,chokurdakh,RU,2020-09-02 21:48:15,70.63,147.92,51,63,43.51999999999996,4.8
90,celestun,MX,2020-09-02 21:48:15,20.87,-90.4,34,74,84.79399999999998,7.31
91,pulawy,PL,2020-09-02 21:48:16,51.42,21.97,0,10,54.266000000000005,2.69
92,nogliki,RU,2020-09-02 21:48:16,51.83,143.17,100,85,66.65,2.37
93,berlevag,NO,2020-09-02 21:41:24,70.86,29.09,100,76,52.538000000000046,7.2
94,new norfolk,AU,2020-09-02 21:48:16,-42.78,147.06,34,58,62.27599999999999,1.79
95,beya,RU,2020-09-02 21:48:16,53.05,90.91,7,63,66.52400000000002,2.47
96,kumi,KR,2020-09-02 21:48:16,36.11,128.34,90,61,82.66999999999996,3.6
97,punta arenas,CL,2020-09-02 21:48:17,-53.15,-70.92,28,88,35.86999999999996,3.1
98,taksimo,RU,2020-09-02 21:48:17,56.34,114.88,98,61,61.196000000000055,1.3
99,puerto el triunfo,SV,2020-09-02 21:48:17,13.28,-88.55,40,88,80.86999999999996,2.6
100,frontera,MX,2020-09-02 21:48:17,26.93,-101.45,100,50,90.26600000000002,3.16
101,dingle,PH,2020-09-02 21:48:17,11,122.67,65,70,87.42200000000004,0.92
102,anadyr,RU,2020-09-02 21:48:18,64.75,177.48,40,61,50.26999999999996,5
103,port alfred,ZA,2020-09-02 21:48:18,-33.59,26.89,0,39,61.95199999999998,5.12
104,broome,US,2020-09-02 21:48:18,42.25,-75.83,90,100,72.26600000000002,3.6
105,sechura,PE,2020-09-02 21:48:18,-5.56,-80.82,0,76,62.24000000000002,7.6
106,bredasdorp,ZA,2020-09-02 21:48:18,-34.53,20.04,12,82,57.469999999999956,3.6
107,port elizabeth,ZA,2020-09-02 21:48:19,-33.92,25.57,0,66,50.26999999999996,2.1
108,yerofey pavlovich,RU,2020-09-02 21:48:19,53.97,121.97,0,55,66.10999999999999,1.21
109,nanortalik,GL,2020-09-02 21:48:19,60.14,-45.24,0,71,42.98000000000004,2.42
110,pisco,PE,2020-09-02 21:48:19,-13.7,-76.22,0,82,62.27599999999999,1.5
111,hobart,AU,2020-09-02 21:43:49,-42.88,147.33,40,51,61.26799999999999,3.6
112,lompoc,US,2020-09-02 21:43:45,34.64,-120.46,1,72,64.66999999999996,6.2
113,dikson,RU,2020-09-02 21:48:20,73.51,80.55,1,84,41.41400000000003,4.57
114,vaitupu,,,,,,,,
115,lamas,PE,2020-09-02 21:48:20,-6.42,-76.53,9,81,66.34399999999997,1.21
116,formoso do araguaia,,,,,,,,
117,arraial do cabo,BR,2020-09-02 21:48:20,-22.97,-42.03,0,89,70.934,6.82
118,ust-nera,RU,2020-09-02 21:48:21,64.57,143.2,93,54,52.95199999999998,0.71
119,nhulunbuy,AU,2020-09-02 21:48:21,-12.23,136.77,40,65,82.66999999999996,6.7
120,camacha,PT,2020-09-02 21:48:21,33.08,-16.33,40,73,70.06999999999996,2.6
121,chatrapur,IN,2020-09-02 21:48:21,19.35,84.98,82,75,82.58000000000004,1.33
122,tumannyy,,,,,,,,
123,pangai,TO,2020-09-02 21:48:21,-19.8,-174.35,75,83,80.86999999999996,3.6
124,palmares,BR,2020-09-02 21:48:22,-8.68,-35.59,10,93,66.93800000000005,1.68
125,puerto narino,CO,2020-09-02 21:48:22,-3.77,-70.38,46,94,79.06999999999996,0.52
126,karratha,AU,2020-09-02 21:38:07,-20.74,116.85,0,15,84.77599999999998,5.94
127,papara,BR,2020-09-02 21:48:22,-3.98,-38.73,45,78,79.26799999999999,5.1
128,nkhotakota,MW,2020-09-02 21:48:23,-12.93,34.3,100,73,71.25800000000001,7.06
129,naze,JP,2020-09-02 21:48:23,28.37,129.48,75,74,88.06999999999996,3.1
130,tautira,PF,2020-09-02 21:48:23,-17.73,-149.15,20,62,86.26999999999995,3.1
131,buncrana,IE,2020-09-02 21:48:23,55.13,-7.45,100,89,56.227999999999966,4.78
132,cabo rojo,PR,2020-09-02 21:48:23,18.09,-67.15,2,89,84.27200000000005,4.06
133,barrow,US,2020-09-02 21:47:39,71.29,-156.79,90,86,39.469999999999956,8.7
134,acapulco,MX,2020-09-02 21:48:24,16.86,-99.89,20,74,84.46999999999997,1.5
135,santa rosa,PH,2020-09-02 21:48:24,14.31,121.11,100,70,90.26600000000002,2.1
136,manta,EC,2020-09-02 21:46:21,-0.95,-80.73,75,83,71.86999999999996,5.7
137,te anau,NZ,2020-09-02 21:48:24,-45.42,167.72,95,60,54.158,1.32
138,yuzhne,UA,2020-09-02 21:48:24,46.62,31.1,100,68,66.46999999999997,2.48
139,xiongzhou,CN,2020-09-02 21:48:25,25.12,114.3,0,47,88.28599999999997,2.24
140,bodo,NO,2020-09-02 21:46:37,67.28,14.4,0,67,60.27799999999996,6.2
141,odweyne,SO,2020-09-02 21:48:25,9.41,45.06,1,57,73.36400000000003,4.02
142,pevek,RU,2020-09-02 21:48:25,69.7,170.31,99,82,37.32799999999996,5.08
143,souillac,MU,2020-09-02 21:48:25,-20.52,57.52,75,94,68.26999999999995,1.5
144,lavrentiya,RU,2020-09-02 21:48:26,65.58,-171,100,73,42.08000000000004,3.57
145,lebu,CL,2020-09-02 21:48:26,-37.62,-73.65,100,81,46.688000000000045,2.87
146,vila velha,BR,2020-09-02 21:48:26,-20.33,-40.29,40,94,68.26999999999995,1
147,deer lake,CA,2020-09-02 21:48:27,49.17,-57.43,75,82,55.66999999999996,5.7
148,jujuy,,,,,,,,
149,castro,BR,2020-09-02 21:48:27,-24.79,-50.01,11,97,57.61400000000003,2.47
150,ucluelet,CA,2020-09-02 21:45:35,48.93,-125.55,40,72,66.46999999999997,4.1
151,snasa,NO,2020-09-02 21:48:27,64.25,12.38,0,72,50.648000000000025,3.59
